Disease,Description,Treatment,Prevention
Brucellosis,"retained placenta, fever, excessive salivation",Isolate animal and prevent milking or close handling. Clean contaminated areas and contact vet services.,"Test and slaughter policy, vaccination in endemic areas, and biosecurity measures."
Bloat,"discomfort, distended left abdomen, excessive salivation, difficulty breathing",Walk the animal slowly and avoid letting it lie down. Do not feed further. Seek immediate veterinary care.,"Limit legume grazing, provide hay before lush pasture, and consider anti-bloat additives."
Anaplasmosis,"loss of appetite, anemia, lameness","Minimize stress, keep the animal in a shaded and quiet area. Ensure clean water and prepare for vet consultation.","Control ticks and biting insects, use clean needles, and implement vaccination in endemic areas."
Bovine Viral Diarrhea,"oral erosions, nasal discharge, fever, loss of appetite, diarrhea",Isolate the affected animal. Maintain hydration using electrolyte solutions and avoid stress-inducing activities.,"Vaccination, testing and removal of PI animals, and biosecurity measures."
Mastitis,"abnormal milk, pain in udder, swollen udder, fever, reduced milk production","Gently milk out the affected quarter to reduce pressure. Maintain udder hygiene and provide a clean, dry area for rest.","Improve milking hygiene, use proper milking techniques, maintain clean housing, and cull chronic cases."
Bloat,"difficulty breathing, discomfort",Walk the animal slowly and avoid letting it lie down. Do not feed further. Seek immediate veterinary care.,"Limit legume grazing, provide hay before lush pasture, and consider anti-bloat additives."
Pinkeye,"corneal ulceration, sensitivity to light, excessive tearing","Move animal to a shaded area, clean the affected eye with saline solution, and protect from dust and flies.","Fly control, isolation of affected animals, and avoiding dusty conditions."
Tuberculosis,"swollen lymph nodes, weight loss",Isolate the infected animal immediately. Prevent contact with herd. Notify veterinary services for proper testing and action.,"Test and slaughter policy, control wildlife reservoirs, and maintain biosecurity."
Ringworm,"crusty skin patches, hair loss, circular skin lesions","Isolate the infected animal, disinfect tools and equipment, and limit exposure to other animals.","Isolate affected animals, disinfect equipment, and improve nutrition."
Anaplasmosis,"weakness, anemia, jaundice, depression","Minimize stress, keep the animal in a shaded and quiet area. Ensure clean water and prepare for vet consultation.","Control ticks and biting insects, use clean needles, and implement vaccination in endemic areas."
Salmonellosis,"high temperature, not eating, dehydration, diarrhea, weakness",Isolate the animal and disinfect contaminated areas. Maintain hydration and hygiene. Provide bland diet and avoid spreading through feces.,"Improve hygiene, water quality, and feed management."
Brucellosis,"retained placenta, swollen joints, fever, reduced milk production",Isolate animal and prevent milking or close handling. Clean contaminated areas and contact vet services.,"Test and slaughter policy, vaccination in endemic areas, and biosecurity measures."
Johne's Disease,"diarrhea, weakness, decreased milk production, weight loss","Isolate the animal, offer supportive care and hydration. Practice strict hygiene to prevent spreading.","Cull positive animals, improve calving area hygiene, and test regularly."
Bovine Respiratory Disease,"nasal discharge, coughing, rapid breathing, loss of appetite, lethargy","Isolate the affected animal, ensure fresh air and shade, and reduce stress. Keep the animal hydrated and consult a vet promptly.","Improve ventilation, reduce stocking density, implement vaccination programs, and quarantine new animals."
Bovine Viral Diarrhea,"nasal discharge, fever",Isolate the affected animal. Maintain hydration using electrolyte solutions and avoid stress-inducing activities.,"Vaccination, testing and removal of PI animals, and biosecurity measures."
Brucellosis,"reduced milk production, high temperature, abortion",Isolate animal and prevent milking or close handling. Clean contaminated areas and contact vet services.,"Test and slaughter policy, vaccination in endemic areas, and biosecurity measures."
Ringworm,"crusty skin patches, hair loss, circular skin lesions","Isolate the infected animal, disinfect tools and equipment, and limit exposure to other animals.","Isolate affected animals, disinfect equipment, and improve nutrition."
Foot and Mouth Disease,"blisters on mouth, blisters on feet","Isolate animal, provide soft bedding and soft feed. Disinfect affected areas and limit movement to prevent spread.","Strict biosecurity, movement controls, and reporting to authorities."
Bloat,"discomfort, distended left abdomen, difficulty breathing",Walk the animal slowly and avoid letting it lie down. Do not feed further. Seek immediate veterinary care.,"Limit legume grazing, provide hay before lush pasture, and consider anti-bloat additives."
Anaplasmosis,"depression, weakness","Minimize stress, keep the animal in a shaded and quiet area. Ensure clean water and prepare for vet consultation.","Control ticks and biting insects, use clean needles, and implement vaccination in endemic areas."
Mastitis,"pain in udder, reduced milk production, swollen udder, fever","Gently milk out the affected quarter to reduce pressure. Maintain udder hygiene and provide a clean, dry area for rest.","Improve milking hygiene, use proper milking techniques, maintain clean housing, and cull chronic cases."
Anaplasmosis,"weakness, anemia, depression, loss of appetite, jaundice, high temperature","Minimize stress, keep the animal in a shaded and quiet area. Ensure clean water and prepare for vet consultation.","Control ticks and biting insects, use clean needles, and implement vaccination in endemic areas."
Bloat,"excessive salivation, distended left abdomen",Walk the animal slowly and avoid letting it lie down. Do not feed further. Seek immediate veterinary care.,"Limit legume grazing, provide hay before lush pasture, and consider anti-bloat additives."
Tetanus,"muscle stiffness, hypersensitivity to stimuli","Keep the animal in a quiet, dark place. Avoid loud noise or stress. Immobilize to prevent injury and call a vet urgently.","Vaccination, proper wound care, and clean environment."
Leptospirosis,"high temperature, reduced milk production, jaundice, red urine","Isolate the animal, provide clean water and rest. Avoid contact with bodily fluids and disinfect contaminated areas.","Vaccination, rodent control, and avoid contaminated water sources."
Salmonellosis,"dehydration, diarrhea, loss of appetite",Isolate the animal and disinfect contaminated areas. Maintain hydration and hygiene. Provide bland diet and avoid spreading through feces.,"Improve hygiene, water quality, and feed management."
Johne's Disease,"weakness, diarrhea, weight loss","Isolate the animal, offer supportive care and hydration. Practice strict hygiene to prevent spreading.","Cull positive animals, improve calving area hygiene, and test regularly."
Foot and Mouth Disease,"high temperature, drooling, reduced milk production, lameness, blisters on feet, blisters on mouth","Isolate animal, provide soft bedding and soft feed. Disinfect affected areas and limit movement to prevent spread.","Strict biosecurity, movement controls, and reporting to authorities."
Tetanus,"difficulty swallowing, lockjaw","Keep the animal in a quiet, dark place. Avoid loud noise or stress. Immobilize to prevent injury and call a vet urgently.","Vaccination, proper wound care, and clean environment."
Mastitis,"swollen udder, abnormal milk, pain in udder, reduced milk production, high temperature","Gently milk out the affected quarter to reduce pressure. Maintain udder hygiene and provide a clean, dry area for rest.","Improve milking hygiene, use proper milking techniques, maintain clean housing, and cull chronic cases."
Bovine Viral Diarrhea,"diarrhea, loss of appetite, nasal discharge, oral erosions",Isolate the affected animal. Maintain hydration using electrolyte solutions and avoid stress-inducing activities.,"Vaccination, testing and removal of PI animals, and biosecurity measures."
Ringworm,"hair loss, crusty skin patches, circular skin lesions, loss of appetite","Isolate the infected animal, disinfect tools and equipment, and limit exposure to other animals.","Isolate affected animals, disinfect equipment, and improve nutrition."
