Disease,Description,Treatment,Advice
Anaplasmosis,"depression, weakness","Tetracycline antibiotics, supportive care, and blood transfusions in severe cases.","Control ticks and biting insects, use clean needles, and implement vaccination in endemic areas."
Mastitis,"pain in udder, reduced milk production, swollen udder, fever","Intramammary antibiotics, systemic antibiotics, frequent milking, and anti-inflammatory drugs.","Improve milking hygiene, use proper milking techniques, maintain clean housing, and cull chronic cases."
Anaplasmosis,"weakness, anemia, depression, loss of appetite, jaundice, high temperature","Tetracycline antibiotics, supportive care, and blood transfusions in severe cases.","Control ticks and biting insects, use clean needles, and implement vaccination in endemic areas."
Bloat,"excessive salivation, distended left abdomen","Passing stomach tube, vegetable oil orally, or trocarization in emergency.","Limit legume grazing, provide hay before lush pasture, and consider anti-bloat additives."
Tetanus,"muscle stiffness, hypersensitivity to stimuli","Tetanus antitoxin, antibiotics, muscle relaxants, and supportive care.","Vaccination, proper wound care, and clean environment."
Leptospirosis,"high temperature, reduced milk production, jaundice, red urine",Streptomycin or oxytetracycline treatment.,"Vaccination, rodent control, and avoid contaminated water sources."
Salmonellosis,"dehydration, diarrhea, loss of appetite","Fluid therapy, electrolytes, and antibiotics if needed.","Improve hygiene, water quality, and feed management."
Johne's Disease,"weakness, diarrhea, weight loss",No effective treatment. Management to reduce spread.,"Cull positive animals, improve calving area hygiene, and test regularly."
Foot and Mouth Disease,"high temperature, drooling, reduced milk production, lameness, blisters on feet, blisters on mouth",No specific treatment. Supportive care and biosecurity measures.,"Strict biosecurity, movement controls, and reporting to authorities."
Tetanus,"difficulty swallowing, lockjaw","Tetanus antitoxin, antibiotics, muscle relaxants, and supportive care.","Vaccination, proper wound care, and clean environment."
Mastitis,"swollen udder, abnormal milk, pain in udder, reduced milk production, high temperature","Intramammary antibiotics, systemic antibiotics, frequent milking, and anti-inflammatory drugs.","Improve milking hygiene, use proper milking techniques, maintain clean housing, and cull chronic cases."
Bovine Viral Diarrhea,"diarrhea, loss of appetite, nasal discharge, oral erosions","Supportive care, fluids, and antibiotics for secondary infections.","Vaccination, testing and removal of PI animals, and biosecurity measures."
Ringworm,"hair loss, crusty skin patches, circular skin lesions, loss of appetite",Topical antifungal treatments and isolation of affected animals.,"Isolate affected animals, disinfect equipment, and improve nutrition."
Leptospirosis,"abortion, fever",Streptomycin or oxytetracycline treatment.,"Vaccination, rodent control, and avoid contaminated water sources."
Tuberculosis,"weight loss, swollen lymph nodes, coughing",No treatment. Culling of infected animals is recommended.,"Test and slaughter policy, control wildlife reservoirs, and maintain biosecurity."
Salmonellosis,"not eating, diarrhea","Fluid therapy, electrolytes, and antibiotics if needed.","Improve hygiene, water quality, and feed management."
Blackleg,"fever, swelling, depression, lameness, not eating","Antibiotics if caught early, but often fatal. Vaccination is preventive.","Vaccination, proper disposal of dead animals, and avoid contaminated pastures."
Bovine Respiratory Disease,"loss of appetite, rapid breathing","Antibiotics such as oxytetracycline or tulathromycin, anti-inflammatory drugs, and supportive care.","Improve ventilation, reduce stocking density, implement vaccination programs, and quarantine new animals."
Anaplasmosis,"weakness, anemia, high temperature, loss of appetite","Tetracycline antibiotics, supportive care, and blood transfusions in severe cases.","Control ticks and biting insects, use clean needles, and implement vaccination in endemic areas."
Tetanus,"muscle stiffness, difficulty swallowing, hypersensitivity to stimuli","Tetanus antitoxin, antibiotics, muscle relaxants, and supportive care.","Vaccination, proper wound care, and clean environment."
Tuberculosis,"weight loss, fever, swollen lymph nodes",No treatment. Culling of infected animals is recommended.,"Test and slaughter policy, control wildlife reservoirs, and maintain biosecurity."
Anaplasmosis,"depression, jaundice","Tetracycline antibiotics, supportive care, and blood transfusions in severe cases.","Control ticks and biting insects, use clean needles, and implement vaccination in endemic areas."
Mastitis,"swollen udder, reduced milk production","Intramammary antibiotics, systemic antibiotics, frequent milking, and anti-inflammatory drugs.","Improve milking hygiene, use proper milking techniques, maintain clean housing, and cull chronic cases."
Pinkeye,"excessive tearing, eye inflammation, sensitivity to light, corneal ulceration","Topical antibiotics, eye patches, and fly control.","Fly control, isolation of affected animals, and avoiding dusty conditions."
Tetanus,"hypersensitivity to stimuli, muscle stiffness, lockjaw","Tetanus antitoxin, antibiotics, muscle relaxants, and supportive care.","Vaccination, proper wound care, and clean environment."
Bloat,"distended left abdomen, difficulty breathing, excessive salivation","Passing stomach tube, vegetable oil orally, or trocarization in emergency.","Limit legume grazing, provide hay before lush pasture, and consider anti-bloat additives."
Leptospirosis,"fever, abortion, red urine, reduced milk production",Streptomycin or oxytetracycline treatment.,"Vaccination, rodent control, and avoid contaminated water sources."
Blackleg,"lameness, fever, swelling, loss of appetite, depression","Antibiotics if caught early, but often fatal. Vaccination is preventive.","Vaccination, proper disposal of dead animals, and avoid contaminated pastures."
Pinkeye,"sensitivity to light, excessive tearing, oral erosions","Topical antibiotics, eye patches, and fly control.","Fly control, isolation of affected animals, and avoiding dusty conditions."
Leptospirosis,"jaundice, abortion, reduced milk production, red urine, high temperature",Streptomycin or oxytetracycline treatment.,"Vaccination, rodent control, and avoid contaminated water sources."
Pinkeye,"eye inflammation, corneal ulceration, sensitivity to light, excessive tearing","Topical antibiotics, eye patches, and fly control.","Fly control, isolation of affected animals, and avoiding dusty conditions."
Brucellosis,"high temperature, abortion",No treatment. Culling of infected animals is recommended.,"Test and slaughter policy, vaccination in endemic areas, and biosecurity measures."
Johne's Disease,"weakness, diarrhea, weight loss",No effective treatment. Management to reduce spread.,"Cull positive animals, improve calving area hygiene, and test regularly."
Leptospirosis,"reduced milk production, jaundice, red urine, abortion",Streptomycin or oxytetracycline treatment.,"Vaccination, rodent control, and avoid contaminated water sources."
Mastitis,"abnormal milk, reduced milk production, swollen udder","Intramammary antibiotics, systemic antibiotics, frequent milking, and anti-inflammatory drugs.","Improve milking hygiene, use proper milking techniques, maintain clean housing, and cull chronic cases."
Foot and Mouth Disease,"drooling, lameness, fever, blisters on feet, reduced milk production",No specific treatment. Supportive care and biosecurity measures.,"Strict biosecurity, movement controls, and reporting to authorities."
Tuberculosis,"weakness, swollen lymph nodes, fever",No treatment. Culling of infected animals is recommended.,"Test and slaughter policy, control wildlife reservoirs, and maintain biosecurity."
Tetanus,"lockjaw, difficulty swallowing, muscle stiffness, fever","Tetanus antitoxin, antibiotics, muscle relaxants, and supportive care.","Vaccination, proper wound care, and clean environment."
Leptospirosis,"jaundice, reduced milk production, abortion, fever, red urine",Streptomycin or oxytetracycline treatment.,"Vaccination, rodent control, and avoid contaminated water sources."
Salmonellosis,"diarrhea, dehydration, not eating, fever","Fluid therapy, electrolytes, and antibiotics if needed.","Improve hygiene, water quality, and feed management."
Brucellosis,"swollen joints, retained placenta, reduced milk production, abortion, fever",No treatment. Culling of infected animals is recommended.,"Test and slaughter policy, vaccination in endemic areas, and biosecurity measures."
Salmonellosis,"loss of appetite, high temperature","Fluid therapy, electrolytes, and antibiotics if needed.","Improve hygiene, water quality, and feed management."
Ringworm,"crusty skin patches, circular skin lesions, hair loss",Topical antifungal treatments and isolation of affected animals.,"Isolate affected animals, disinfect equipment, and improve nutrition."
